duns_number,company_name,tradestyle,address_line_1,address_line_2,city,state,postal_code,phone,website,revenue_raw,revenue_numeric,revenue_formatted,employees_total,employees_single_site,business_description,industry,ownership_type,entity_type,is_headquarters,contact_count,primary_contact_name,primary_contact_title,primary_contact_email_flag,primary_contact_phone_flag
867203812,The Araz Group Inc.,America's PPO,7201 W 78Th St Ste 100,,Minneapolis,Minnesota,55439-2508,1-952-896-1200,http://www.araz.com,1.4174429E7,14174429,$14.2M,100,99,"The Araz Group Inc. is primarily engaged in providing hospital, medical, and other health services to subscribers or members in accordance with prearranged agreements or service plans. Generally, these service plans provide benefits to subscribers or members in return for specified subscription charges. The plans may be through a contract under which a participating hospital or physician agrees to render the covered services without charging any additional fees. Other plans provide for partial indemnity and service benefits. Also included in this industry are separate establishments of health maintenance organizations which provide medical insurance.",Life and Health Insurance,Private,Independent,false,3,Nazie Eftekhari,Chief Executive Officer,Y,Y
829119507,"Greens World, Inc",GreensWorld,14200 Lincoln St Ne Ste 200,,Andover,Minnesota,55304-4877,1-763-717-2905,http://www.greensworld.com,5631928.0,5631928,5631928.0,100,100,"Greens World, Inc is primarily engaged in the wholesale distribution of prescription drugs, proprietary drugs, druggists' sundries, and toiletries.",Health and Personal Care Wholesale,Private,Independent,false,3,Jim Coleman,Founder And Chief Executive Officer,Y,Y
117329547,"Temperance Solar, LLC",,8400 Normandale Lake Blvd Ste 1200,,Minneapolis,Minnesota,55437-3850,1-952-988-9000,,1144382.0,1144382,1144382.0,100,100,"Temperance Solar, Llc is primarily engaged in the generation, transmission, and/or distribution of electric energy for sale.",Electricity Generation and Distribution,Private,Independent,false,0,,,,
787696020,"Volkart May & Associates, Inc.",,3405 Annapolis Ln N Ste 300,,Minneapolis,Minnesota,55447-8768,1-763-450-4900,http://www.volkartmay.com,1665838.0,1665838,1665838.0,100,100,"Volkart May & Associates, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Miscellaneous Professional Services,Private,Independent,false,0,,,,
073034873,Pal Management Inc,,181 S River Ridge Cir,,Burnsville,Minnesota,55337-1627,1-952-646-1792,,2123004.0,2123004,2123004.0,99,99,Pal Management Inc is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.,Administrative Services,Private,Independent,false,2,Brad Hixmann,President,Y,Y
080545732,Azule Management Group INC,,16861 Jasper Path,,Lakeville,Minnesota,55044-5680,1-952-956-6550,,1492859.0,1492859,1492859.0,99,99,"Azule Management Group Inc is primarily engaged in providing employment services, except theatrical employment agencies and motion picture casting bureaus. Establishments classified here may assist either employers or those seeking employment.",Employment Services,Private,Independent,false,0,,,,
054705707,"Creatis, Inc.",,227 Colfax Ave N Ste 200,,Minneapolis,Minnesota,55405-1413,1-612-333-3233,http://www.creatis.com,2335745.1,2335745.1,2335745.1,98,98,"Creatis, Inc. is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Jonathan Arnold,President Chief Executive Officer,Y,Y
969386598,"Doherty Consulting, Inc.",Dahl Consulting,7625 Parklawn Ave,,Minneapolis,Minnesota,55435-5123,1-651-772-9225,http://www.dahlconsulting.com,1.0827814E7,10827814,$10.8M,98,98,"Doherty Consulting, Inc. is primarily engaged in providing employment services, except theatrical employment agencies and motion picture casting bureaus. Establishments classified here may assist either employers or those seeking employment.",Employment Services,Private,Independent,false,3,Valerie Doherty,Chief Executive Officer,Y,Y
031071918,Shavlik Technologies Corporation,,119 14Th St Nw Ste 200,,Saint Paul,Minnesota,55112-3930,1-612-836-6200,http://www.ivanti.com,9738235.5,9738235.5,9738235.5,95,95,"Shavlik Technologies Corporation is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software.",Software,Private,Independent,false,3,Mark Shavlik,Chief Executive Officer,Y,Y
085870817,"Dealer Teamwork, LLC",,12600 Whitewater Dr Ste 100,,Minnetonka,Minnesota,55343-9450,1-855-787-9770,http://www.dealerteamwork.com,9326630.6,9326630.6,9326630.6,95,95,"Dealer Teamwork, Llc is primarily engaged in providing computer programming services on a contract or fee basis. Establishments of this industry perform a variety of additional services, such as computer software design and analysis; modifications of custom software; and training in the use of custom software.",Computer Programming,Private,Independent,false,3,Sean Stapleton,Co Founder And Chief Executive Officer,Y,Y
170192694,Human Services of Faribault & Martin Counties,,115 W 1St St,,Fairmont,Minnesota,56031-4592,1-507-238-4757,http://www.fmchs.com,2585155.0,2585155,2585155.0,95,95,Human Services Of Faribault & Martin Counties is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.,Associations and Organizations,Private,Independent,false,3,Bianca Cordova,Owner Vice President Operations,Y,Y
116223140,"DIVERSIFIED ADJUSTMENT SERVICE, INCORPORATED",,600 Coon Rapids Blvd NW,,Minneapolis,Minnesota,55433-5549,1-763-783-2301,http://www.diversifiedadjustment.com,4898335.0,4898335,4898335.0,95,95,"Diversified Adjustment Service, Incorporated is primarily engaged in the collection or adjustment of claims, other than insurance.",Business Support Services,Private,Independent,false,2,Kathleen Zurek,President,Y,Y
102256195,"American Agency, Inc.","Nationwide, Dennis J Linder & Associates, American/thom Agency, American Agency of Nevada, KEMPER INSURANCE",5851 Cedar Lake Rd S,,Minneapolis,Minnesota,55416-1495,1-952-545-1230,http://www.americanagencymn.com,920462.01,920462.01,920462.01,95,95,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services.",Insurance Agents,Private,Independent,false,0,,,,
834182391,Hibbing Public Utilities Commission,Public Utilities Commission,1902 6Th Ave E,,Hibbing,Minnesota,55746-2154,1-218-262-7700,http://www.hpuc.com,2.854681E7,28546810,$28.5M,92,92,"Hibbing Public Utilities Commission is primarily engaged in providing electric services in combination with other services, with electric services as the major part though less than 95 percent of the total.",Electricity Generation and Distribution,Private,Independent,false,3,Luann Ridlon,Chief Operating Officer,Y,Y
078454686,Wells Fargo Private Bank,,90 S 7Th St Fl 2,,Minneapolis,Minnesota,55402-2317,1-612-667-1764,http://www.abbotdowning.com,5406261.899999999,5406261.899999999,5406261.899999999,90,90,"Wells Fargo Private Bank is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Gary Larsen,managing director,Y,Y
809506223,"KAPRA COSMETICS, INC.",,8700 Xylon Ave N,,Minneapolis,Minnesota,55445-1817,1-612-782-3941,http://www.kapracosmetics.com,1.239539E7,12395390,$12.4M,90,90,"Kapra Cosmetics, Inc. is primarily engaged in manufacturing perfumes (natural and synthetic), cosmetics, and other toilet preparations. This also includes blending and compounding perfume bases; and those manufacturing shampoos and shaving products, whether from soap or synthetic detergents.",Miscellaneous Chemical Manufacturing,Private,Independent,false,2,Naman Atreya,Director of Operations,Y,Y
071970884,MAYO FOUNDATION,,1619 20Th Ave Ne,,Rochester,Minnesota,55906-8006,1-507-280-0592,http://www.mayo.edu,2856237.9,2856237.9,2856237.9,88,88,"Mayo Foundation is a membership organization engaged in civic, social, or fraternal activities.",Associations and Organizations,Private,Independent,false,3,Elton Mosman,Manager Operations,Y,Y
040777485,"LJP ENTERPRISES WASTE & RECYCLING, LLC",,2160 Ringhofer Dr,,North Mankato,Minnesota,56003-2202,1-507-625-1968,http://www.ljpwastesolutions.com,1983413.0,1983413,1983413.0,87,87,"Ljp Enterprises Waste & Recycling, Llc is primarily engaged in the collection and disposal of refuse by processing or destruction or in the operation of incinerators, waste treatment plants, landfills, or other sites for disposal of such materials.",Waste Management,Private,Independent,false,1,Sheldon Swensen,Vice President Operations,Y,Y
129833538,"RECAST SOFTWARE, INC.",,1660 Highway 100 S Ste 528,,Minneapolis,Minnesota,55416-1551,1-612-504-5090,http://www.recastsoftware.com,2828649.0,2828649,2828649.0,86,86,"Recast Software, Inc. is primarily engaged in providing computer programming services on a contract or fee basis. Establishments of this industry perform a variety of additional services, such as computer software design and analysis; modifications of custom software; and training in the use of custom software.",Computer Programming,Private,Independent,false,3,Melissa Seabrook Athrsd,Principal,Y,Y
032312807,Five Star Professional,,2117 Cliff Dr,,Saint Paul,Minnesota,55122-3327,1-888-438-5782,http://www.fivestarprofessional.com,4967304.2,4967304.2,4967304.2,86,86,"Five Star Professional is primarily engaged in performing commercial business, marketing, opinion, and other economic, sociological, and educational research on a contract or fee basis.",Market Research and Opinion Polling,Private,Independent,false,3,Daniel Zdon,Chief Executive Officer,Y,Y
031622272,Visante Inc,,101 5Th St E Ste 2220,,Saint Paul,Minnesota,55101-1814,1-866-388-7583,http://www.visanteinc.com,2469296.0,2469296,2469296.0,85,85,"Visante Inc is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis.",Consulting Services,Private,Independent,false,3,James Jorgenson,Ceo And Board Chair,Y,Y
165905857,Doherty Staffing Solutions Inc,,7645 Metro Blvd Ste 1,,Edina,Minnesota,55439-3049,1-952-832-8383,http://www.doherty.com,3573478.9,3573478.9,3573478.9,85,85,"Doherty Staffing Solutions Inc is primarily engaged in providing employment services, except theatrical employment agencies and motion picture casting bureaus. Establishments classified here may assist either employers or those seeking employment.",Employment Services,Private,Independent,false,3,Val Doherty,Chief Executive Officer,Y,Y
118110792,PROCare HR Corporation,,401 N 3Rd St Ste 640,,Minneapolis,Minnesota,55401-1362,1-612-503-1320,http://www.procarehr.com,1613930.9,1613930.9,1613930.9,82,82,"Procare Hr Corporation is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Erik Schutz,President And Co-Ceo,Y,Y
128358996,INDUSTRIAL IMPACT CORPORATION,,1300 Bollenbacher Dr,,Northfield,Minnesota,55057-3609,1-507-645-1320,http://www.impactautorepairmn.com,1174395.0,1174395,1174395.0,82,82,"Industrial Impact Corporation is primarily engaged in supplying temporary or continuing help on a contract or fee basis. The help supplied is always on the payroll of the supplying establishments, but is under the direct or general supervision of the business to whom the help is furnished.",Employment Services,Private,Independent,false,2,Wayne Korbel,President,Y,Y
962136565,TechDigital Corporation,,764 Southcross Dr W Ste 202,,Burnsville,Minnesota,55306-7916,1-952-956-2043,http://www.techdigitalcorp.com,2378545.0,2378545,2378545.0,82,82,"Techdigital Corporation is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis.",Consulting Services,Private,Independent,false,3,Balaji Thiagarajan,Chief Executive Officer,Y,Y
058587911,"International Projects Consultancy Services (IPCS), Inc.","IPCS, IPCS, Inc.",600 Highway 169 S Ste 1595,,Minneapolis,Minnesota,55426-1274,1-952-541-4888,http://www.ipcs.net,9493596.1,9493596.1,9493596.1,82,82,"International Projects Consultancy Services (Ipcs), Inc. is primarily engaged in supplying computer related services, not elsewhere classified. Computer consultants operating on a contract or fee basis are classified in this industry.",Computer System Design Services,Private,Independent,false,3,Kuldeep Dhar,Chief Executive Officer,Y,Y
074441024,Ramsey Washington Recycling And Energy Board,,100 Red Rock Rd,,Newport,Minnesota,55055-1827,1-651-768-6677,http://www.recyclingandenergy.org,8333000.200000001,8333000.200000001,8333000.200000001,81,81,"Ramsey Washington Recycling And Energy Board is primarily engaged in the collection and disposal of refuse by processing or destruction or in the operation of incinerators, waste treatment plants, landfills, or other sites for disposal of such materials.",Waste Management,Private,Independent,false,1,David Benke,Director,Y,Y
078749768,"McKinley Finance, Inc.",Skywater Search Partners,601 Carlson Pkwy,,Hopkins,Minnesota,55305-5203,1-952-767-9000,http://www.skywatersearch.com,7006650.0,7006650,7006650.0,81,81,"Mckinley Finance, Inc. is primarily engaged in providing employment services, except theatrical employment agencies and motion picture casting bureaus. Establishments classified here may assist either employers or those seeking employment.",Employment Services,Private,Independent,false,3,Tony Fornetti,President,Y,Y
144661030,"Reinking Enterprises, Inc.","Advance Response Systems, Advanced Response Systems",13175 George Weber Dr,,Rogers,Minnesota,55374-8900,1-763-428-1430,http://www.advanced-response.com,4698643.2,4698643.2,4698643.2,80,80,"Reinking Enterprises, Inc. is primarily engaged in furnishing services for direct mail advertising, such as creating, producing, and mailing of direct mail advertising. This also includes compiling and selling mailing lists.",Advertising Services,Private,Independent,false,1,Steve E,Executive Officer,Y,Y
018812656,"John Ryan International, Inc.",,11100 Wayzata Blvd Ste 350,,Minnetonka,Minnesota,55305-5556,1-952-224-3700,,525612.0,525612,525612.0,80,80,"John Ryan International, Inc. is primarily engaged in furnishing advertising services, not elsewhere classified, such as aerial advertising, circular and handbill distribution, distribution or delivery of advertising material or samples, and transit advertising.",Advertising Services,Private,Independent,false,2,Nancy Reidmeicher,President,Y,Y
075470397,"MGM PROPERTY MANAGEMENT, LLC",,2111 Central Ave Ne,,Minneapolis,Minnesota,55418-3767,1-612-315-5601,http://www.mgmmgmt.net,2443032.0,2443032,2443032.0,80,80,"Mgm Property Management, Llc is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.",Administrative Services,Private,Independent,false,2,Hidden Valley,General Manager,Y,Y
020257752,"LIVEFRONT, LLC",,2913 Harriet Ave Ste 101,,Minneapolis,Minnesota,55408-4592,1-800-219-3010,http://www.livefront.com,6107212.1,6107212.1,6107212.1,80,80,"Livefront, Llc is primarily engaged in providing computer programming services on a contract or fee basis. Establishments of this industry perform a variety of additional services, such as computer software design and analysis; modifications of custom software; and training in the use of custom software.",Computer Programming,Private,Independent,false,2,Jarin Schmidt,Vice President Of Client Partnerships,Y,Y
799641993,"Space150, Inc.",,212 3Rd Ave N Ste 150,,Minneapolis,Minnesota,55401-1434,1-612-332-6458,http://www.space150.com,2.3237658E7,23237658,$23.2M,80,80,"space150 takes rebranding quite literally. Every 150 days the company undergoes its ownartistic rebirth and changes its logo, Web site, business cards, and company letterhead. The digital advertising agency specializes in brand identityand creating Web sites, ""microsites"", and viral campaigns for such clients as Target, Best Buy, and Starz. space150 uses its own content management system (spaceCMS) to develop Web sites. The company was founded in 2000 by CEO and Creative Director Billy Jurewicz and has offices in Minneapolis, Los Angeles, and New York City.",Consulting Services,Private,Independent,false,3,Billy Jurewicz,"Founder, Chief Executive Officer",Y,Y
614909245,YMCA,,1000 Lakeland Dr Se,,Willmar,Minnesota,56201-4708,1-320-222-9622,http://www.kandiymca.org,2482634.0999999996,2482634.0999999996,2482634.0999999996,80,80,"Ymca is a membership organization engaged in civic, social, or fraternal activities.",Associations and Organizations,Private,Independent,false,3,Larry Parker,Chief Executive Officer,Y,Y
096488432,Birchwood Laboratories LLC,,7900 Fuller Rd,,Eden Prairie,Minnesota,55344-2138,1-952-937-7900,http://www.birchwoodlaboratories.com,2.4329424E7,24329424,$24.3M,80,80,"Birchwood Laboratories Llc is primarily engaged in manufacturing miscellaneous chemical preparations, not elsewhere classified, such as fatty acids, essential oils, gelatin (except vegetable), sizes, bluing, laundry sours, writing and stamp pad ink, industrial compounds, such as boiler and heat insulating compounds, metal, oil, and water-treating compounds, waterproofing compounds, and chemical supplies for foundries.",Miscellaneous Chemical Manufacturing,Private,Independent,false,3,Michael Shelton,Chief Executive Officer,Y,Y
847624041,"E & M Consulting, Inc.",,1107 Hazeltine Blvd,,Chaska,Minnesota,55318-1041,1-952-368-9342,http://www.emconsultinginc.com,1955535.1,1955535.1,1955535.1,77,77,"E & M Consulting, Inc. is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis.",Consulting Services,Private,Independent,false,3,Jason Epple,Chief Executive Officer,Y,Y
039576814,"Metafile Information Systems, Inc.",,3428 Lakeridge Pl Nw,,Rochester,Minnesota,55901-6571,1-507-286-9232,http://www.metaviewer.com,2454675.9,2454675.9,2454675.9,77,77,"Metafile Information Systems, Inc. is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software.",Software,Private,Independent,false,0,,,,
120098991,"TALBERG LAWN & LANDSCAPE, INC.",,11770 Justen Cir,,Osseo,Minnesota,55369-9282,1-763-428-3550,http://www.talberg.com,3115407.0,3115407,3115407.0,75,75,"Talberg Lawn & Landscape, Inc. is primarily engaged in performing a variety of lawn and garden services.",Building and Dwelling Services,Private,Independent,false,2,Mark Talberg,President,Y,Y
011058497,Natus Corporation,"Hamernick Decorating, Hamernick Decorating Center",1381 Rice St Ste 1,,Saint Paul,Minnesota,55117-4674,1-651-487-3211,http://www.natus.com,4988325.1,4988325.1,4988325.1,75,75,"Natus Corporation is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Miscellaneous Professional Services,Private,Independent,false,3,Chris Landon,Chief Executive Officer,Y,Y
052766797,SEVENTY FIVE HUNDRED YORK COOPERATIVE,7500 York Cooperative,7500 York Ave S,,Edina,Minnesota,55435-5633,1-952-835-1010,http://www.7500york.com,2429441.9,2429441.9,2429441.9,75,75,"Seventy Five Hundred York Cooperative is a membership organization engaged in civic, social, or fraternal activities.",Associations and Organizations,Private,Independent,false,3,Linda Tedford,Vice President,Y,Y
020477093,"Field Nation, LLC",,733 Marquette Ave Ste 800,,Minneapolis,Minnesota,55402-2352,1-877-573-4353,http://www.fieldnation.com,1.8378382E7,18378382,$18.4M,75,75,"Field Nation, Llc is primarily engaged in supplying computer related services, not elsewhere classified. Computer consultants operating on a contract or fee basis are classified in this industry.",Computer System Design Services,Private,Independent,false,3,Mynul Khan,ceo,Y,Y
132659574,Temple Of Aaron,,616 Mississippi River Blvd S,,Saint Paul,Minnesota,55116-1099,1-651-699-9192,http://www.templeofaaron.org,849981.01,849981.01,849981.01,75,75,"Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or for promotion of religious activities. Other establishments maintained by religious organizations, such as educational institutions, hospitals, publishing houses, reading rooms, social services, and secondhand stores, are classified according to their primary activity. Also included in this industry are religious groups which reach the public through radio or television media.",Associations and Organizations,Private,Independent,false,3,Roxanne Portnoy,President,Y,Y
080680670,"Emergent Software, LLC",,400 S 4Th St Ste 410 Pmb 33087,,Minneapolis,Minnesota,55415-1419,1-612-217-0747,http://www.emergentsoftware.net,8106611.300000001,8106611.300000001,8106611.300000001,75,75,"Emergent Software, Llc is primarily engaged in providing computer programming services on a contract or fee basis. Establishments of this industry perform a variety of additional services, such as computer software design and analysis; modifications of custom software; and training in the use of custom software.",Computer Programming,Private,Independent,false,1,Mark Bajema,Chief Executive Officer,Y,Y
024561475,"Optimize Social Media, Inc.",,3510 Hopkins Pl N,,Saint Paul,Minnesota,55128-7578,1-855-676-1212,http://www.whyoptimize.com,4748029.2,4748029.2,4748029.2,75,75,"Optimize Social Media, Inc. is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning.",Consulting Services,Private,Independent,false,3,Jon Greene,Chief Executive Officer,Y,Y
089398882,"Sisu Medical Solutions, LLC",,4960 Miller Trunk Hwy Ste 500,,Hermantown,Minnesota,55811-1897,1-218-529-7900,,6332471.800000001,6332471.800000001,6332471.800000001,75,75,"Sisu Medical Solutions, Llc is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software.",Software,Private,Independent,false,3,Cheryl Egnor,President,Y,Y
010535680,"Dittrich Specialties, Inc.",,2110 N Broadway St,,New Ulm,Minnesota,56073-1031,1-507-359-2650,http://www.dittrichspecialties.com,2444971.1,2444971.1,2444971.1,75,20,"Dittrich Specialties, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Miscellaneous Professional Services,Private,Independent,false,1,Artis Powell,Principal,Y,Y
102268059,"PROMOTION MANAGEMENT CENTER, INC.",,31205 Falcon Ave,,Stacy,Minnesota,55079-9676,1-651-462-1213,http://www.pmci.com,6567252.2,6567252.2,6567252.2,75,75,"Promotion Management Center, Inc. is primarily engaged in furnishing services for direct mail advertising, such as creating, producing, and mailing of direct mail advertising. This also includes compiling and selling mailing lists.",Advertising Services,Private,Independent,false,3,Devere Monson,Chief Executive Officer,Y,Y
008303049,"PERSONAL CARE SENIOR LIVING, LLC",,1428 5Th Ave,,Anoka,Minnesota,55303-2739,,http://www.personalcareseniorliving.com,2429378.0,2429378,2429378.0,75,75,"Personal Care Senior Living, Llc is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.",Administrative Services,Private,Independent,false,0,,,,
